Type,Customer,Address,Town,No. Machines,Latitude,Longitude,Serial Number
Coolers,Plus Fitness,Torvet 1,4293 Dianalund,1,55.5270297,11.4965328,90801241
Coolers,Frederiksberg Svoemmehal Cafeen,Helgesvej 29,2000 Frederiksberg,1,55.6845223,12.5322363,90801251
Coolers,Maribo Fitness,Ved Stadion  4,4930 Maribo,1,55.613966,12.9880233,90801301
Coolers,Byens Fitness Ugerloese,Hovedgaden 23C,4350 Ugerloese,1,55.586062,11.656803,90801302
Coolers,LOOP Greve,Haandvaerkerbyen 36,Greve,1,55.5895795,12.2947331,91301330
Coolers,High End Crossfit,Traverbanevej 10,2920 Charlottenlund,1,55.75292,12.588086,94662615
Coolers,Mikenta,Roskildevej 14 G,2620 Albertslund,1,55.659616,12.357064,94801130
Vending,Fitness24Seven Stockholm Hoegdalen,Hoegdalsgaangen 30,124 54 Bandhagen Sverige,1,59.2678465,18.0515894,2120010655
Vending,Kentaur,Praestgatan 59,831 34 oestersund Sverige,1,63.1688708,14.6421664,2120010659
Vending,Gym24H,Regementgatan 23,831 41 oestersund Sverige,1,63.1813307,14.6442362,2120010660
Vending,Fitness Express Kungsbacka,Aranaes Allé 15,434 42 Kungsbacka Sverige,1,55.6424339,13.2057756,2120010661
Vending,Fitness24Seven Malmoe Vaernhem,Drottningggatan 2,212 11 Malmoe Sverige,1,55.6072255,13.0211419,2122012427
Vending,Iron Works Sundsvall,Soedra Jaernvaegsgatan 14,852 31 Sundsvall Sverige,1,62.3885346,17.311672,2122012428
Vending,Fysiken Sport och Motion,Stationsvaegen 27,136 40 Haninge Sverige,1,59.1590266,18.1311591,2122012431
Vending,Golds Gym oestersund,Storgatan 38,831 30 oestersund Sverige,1,63.17685,14.6352723,2122012432
Vending,Fresh Fitness Amager,Rued Langgaards Vej 2C,2300 Koebenhavn S,1,55.6601854,12.5926448,2122012433
Vending,4Fitness,Carlsbergvej 32A,3400 Hilleroed,1,55.925941,12.3126267,2122012434
Vending,Fresh Fitness - Noerrebro,Esromgade 15,2200 Koebenhavn N,1,55.6982245,12.5404078,2122012435
Vending,MAS Traeningscenter,Jaernvaegsgatan 8,245 44 Staffanstorp Sverige,1,55.6350412,13.210313,2122012437
Vending,Sparta Crossfit,Bryggervej 14,8240 aarhus N,1,41.0334562,-74.6363588,2122012438
Vending,Fitness Express Falkenberg,Storgatan 45,311 31 Falkenberg Sverige,1,56.9017772,12.4931031,2122012439
Vending,Hornbaek Fitness,Engholmvej 7,3100 Hornbaek,1,56.07833,12.484135,2122012442
Vending,Fitness Express Varberg,oestra Laanggatan 47,432 41 Varberg Sverige,1,57.1063644,12.2529045,2122012443
